CS_Site_Short_Name,CS_Site_Long_Name,CS_Latitude,CS_Longitude,NGA_Station_Name,NGA_Station_ID,NGA_Latitude,NGA_Longitude,Distance_km,Match_Type
USC,University of Southern California,34.0192,-118.286,Univ Southern Ca,USC,34.0192,-118.2863,0.027649179109719382,Proximity Match
USC,University of Southern California,34.0192,-118.286,Univ Southern Ca,USC,34.01919,-118.2863,0.02767153097812948,Proximity Match
STG,Santiago,33.664,-117.76856,Santiago,stg,33.664,-117.769,0.04072104255508767,Name Match
CHN,Chino,33.99879,-117.68044,Chino,chn,33.999,-117.68,0.04680307665053786,Name Match
SVD,Seven Oaks Dam,34.10647,-117.09822,"Mentone, Greenspot Rd.",svd,34.106,-117.098,0.05604954646243641,Proximity Match
PAS,Pasadena,34.148426,-118.17119,Pasadena - CIT Kresge Lab,80054,34.149,-118.171,0.06617739527518819,Name Match
s311,s311,34.17667,-118.35851,North Hollywood,HLL,34.17643,-118.3597,0.11267724796027458,Proximity Match
s311,s311,34.17667,-118.35851,North Hollywood,HLL,34.1764,-118.3597,0.11351361344655064,Proximity Match
LGU,Laguna Peak,34.10819,-119.06587,Point Mugu - Laguna Peak,25148,34.109,-119.065,0.120531850088801,Name Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - I10/215 W Geot,23792,34.064,-117.294,0.21359416474230847,Proximity Match
SMCA,Santa Monica Civic Auditorium,34.00909,-118.48939,Santa Monica City Hall,24538,34.011,-118.49,0.2196989199313433,Proximity Match
USC,University of Southern California,34.0192,-118.286,LA - S. Vermont Ave,90096,34.021,-118.287,0.2203505840220332,Proximity Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - 3-story Office,23516,34.065,-117.289,0.2772680521602083,Proximity Match
s728,s728,33.96875,-117.25502,Moreno Valley - Sunny Mead & Vil,13080,33.968,-117.252,0.2907199274197132,Proximity Match
TAB,Table Mountain,34.38245,-117.68191,Table Mountain 2,TA2,34.38203,-117.6782,0.3436471178975493,Name Match
TAB,Table Mountain,34.38245,-117.68191,Table Mountain 2,TA2,34.382,-117.6782,0.34411639266902605,Name Match
DLA,Del Amo,33.84822,-118.09624,Lakewood - Del Amo Blvd,90084,33.846,-118.099,0.35482905857618335,Name Match
P3,p3,34.24939,-118.42409,Pacoima Kagel Canyon USC,90005,34.25,-118.42,0.38199410320456473,Proximity Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - I10/215 Int,23631,34.064,-117.296,0.383542083635044,Proximity Match
P1,p1,34.3146,-118.48887,Sylmar - Converter Sta,74,34.311,-118.49,0.41353660761735883,Proximity Match
SVD,Seven Oaks Dam,34.10647,-117.09822,Seven Oaks Dam Project Office,5300,34.1105,-117.099,0.45383315961539106,Name Match
SVD,Seven Oaks Dam,34.10647,-117.09822,Seven Oaks Dam Right Abt.,5300,34.1105,-117.099,0.45383315961539106,Name Match
SVD,Seven Oaks Dam,34.10647,-117.09822,Seven Oaks Dam Downstream Surf.,5300,34.1105,-117.099,0.45383315961539106,Name Match
RHCH,Rolling Hills Estates City Hall,33.7834,-118.3528,Rolling Hills Est-Rancho Vista,14405,33.787,-118.356,0.49769544372357233,Proximity Match
P15,p15,34.024624,-118.48174,Santa Monica - 19th & Wilshire,24048,34.029,-118.483,0.5002517479275189,Proximity Match
s313,s313,34.25541,-118.30562,Tujunga - Foothill & Mt Gleason Ave,24009,34.258,-118.301,0.513057660333724,Proximity Match
USC,University of Southern California,34.0192,-118.286,Los Angeles - Jefferson & Hoover,24852,34.024,-118.284,0.5646667872885843,Proximity Match
FIL,Filmore Central Park,34.39865,-118.912,Fillmore Pac Bell,5401,34.397,-118.918,0.5802736448041615,Name Match
P18,p18,34.051228,-118.35438,LA - Saturn St,90091,34.046,-118.355,0.5841267611928864,Proximity Match
s022,s022,34.24505,-119.18086,Oxnard - Hwy 101 & Oxnard Blvd,25862,34.24,-119.179,0.5869859349167083,Proximity Match
s688,s688,34.09181,-117.2953,San Bernardino - Fire Sta. #10,5339,34.091,-117.289,0.5870883896170499,Proximity Match
s520,s520,34.11322,-117.77945,La Verne;WeymouthFFPrsvr roof,5164,34.1092,-117.7836,0.5880357628474597,Proximity Match
P14,p14,34.061253,-118.27574,Los Angeles - 7th & Burlington,24980,34.056,-118.274,0.6057012809475764,Proximity Match
SMCA,Santa Monica Civic Auditorium,34.00909,-118.48939,Santa Monica - Second St,90048,34.005,-118.485,0.6087521677457303,Proximity Match
LPER,Lake Perris N,33.8865,-117.16344,Perris Dam,PEC,33.892,-117.1613,0.6426814287786475,Proximity Match
MRVY,Moreno valley,33.92527,-117.16828,Moreno Valley - Alessandro&More,13927,33.921,-117.173,0.644284303355832,Name Match
LADT,Los Angeles Downtown,34.05204,-118.25713,Los Angeles - 2nd & Flower,24289,34.055,-118.251,0.6536499942482863,Proximity Match
LGB,Laguna Bell,33.9753,-118.14918,Bell Gardens - Garfield & Florence,14844,33.969,-118.149,0.7007246596055515,Proximity Match
P1,p1,34.3146,-118.48887,Jensen Filter Plant Administrative Building,655,34.312,-118.496,0.7158230222312337,Proximity Match
P9,p9,34.08211,-118.22514,LA - Cypress Ave,90033,34.088,-118.222,0.7159352230676139,Proximity Match
COO,Compton,33.89604,-118.21639,Compton - Long Beach & Palmer,14058,33.898,-118.209,0.716043692581596,Name Match
s682,s682,33.85679,-117.4562,Lake Mathews Dike Toe,707,33.852,-117.451,0.7171204546635517,Proximity Match
P17,p17,34.03552,-118.409584,Los Angeles - I10 & Motor Ave,24979,34.029,-118.409,0.7269855153437823,Proximity Match
RIO,Rio Hondo,34.10473,-117.97956,Baldwin Park - N Holly,90069,34.1,-117.974,0.7339595768789162,Proximity Match
s510,s510,33.72038,-118.04497,Huntington Bch - Waikiki,90083,33.727,-118.044,0.7415566441200936,Proximity Match
s648,s648,34.21485,-117.3357,Devil's Canyon,620,34.21,-117.33,0.7520356455230053,Proximity Match
s348,s348,34.09336,-118.29024,Los Angeles - Hollywood Blvd & Hillhurst,24982,34.1,-118.288,0.7666029980777717,Proximity Match
s451,s451,33.8259,-118.15981,Long Beach - Municipal Airport,14125,33.819,-118.159,0.7708850226216947,Proximity Match
PDE,Pardee,34.44199,-118.58215,Pardee - SCE,-999,34.435,-118.582,0.7773742549702706,Name Match
P1,p1,34.3146,-118.48887,Sylmar - Converter Sta East,75,34.312,-118.481,0.7784814793451172,Proximity Match
s776,s776,34.08039,-117.05331,Mill Creek Ranger Station,5076,34.079,-117.045,0.780786962498488,Proximity Match
TRA,Torrance Airport,33.804,-118.3393,Torrance - Pac. Coast Hwy & Robinson,14037,33.797,-118.338,0.7875787657385696,Proximity Match
RPV,Rancho Palos Verdes,33.74346,-118.40412,Rancho Palos Verdes - Hawth,14404,33.746,-118.396,0.8021494722172401,Name Match
s155,s155,34.27281,-118.79083,Simi Valley - Fire Station No. 45,5432,34.2694,-118.783,0.8132936238091003,Proximity Match
s431,s431,33.88727,-118.18054,LB - Orange Ave,90080,33.881,-118.176,0.8134570869750264,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,Los Angeles - 1st & Figueroa,24839,34.058,-118.252,0.8139730784433838,Proximity Match
s359,s359,34.52601,-117.99807,Little Rock Post Office,5030,34.5214,-117.991,0.8260049337781324,Proximity Match
P5,p5,34.191063,-118.33417,Burbank - Thornton & Catalina,24015,34.196,-118.341,0.8342555870388175,Proximity Match
s528,s528,34.42708,-117.56529,Phelan - Sheep Creek & Phelan Rd,23073,34.422,-117.572,0.8353794325763024,Proximity Match
CCP,Century City Plaza,34.054886,-118.41302,LA - Century City CC South,24390,34.062,-118.416,0.8373215875123018,Proximity Match
P1,p1,34.3146,-118.48887,Jensen Filter Plant Administrative Building Free Field (K2),JABF,34.3108,-118.4968,0.8420186977087794,Proximity Match
P1,p1,34.3146,-118.48887,Jensen Filter Plant Administrative Building Free Field (K2),JABF,34.31076,-118.4968,0.8442596008815748,Proximity Match
P1,p1,34.3146,-118.48887,Jensen Filter Plant Generator Building,655,34.313,-118.498,0.8571913995367108,Proximity Match
GLBT,Gibraltar,33.95727,-117.38252,Riverside - Hwy 91 & Central,13914,33.951,-117.388,0.8611339914604291,Proximity Match
s242,s242,34.42197,-118.44259,Solamint,SOT,34.416,-118.449,0.8867855588417709,Proximity Match
s435,s435,34.04458,-118.07468,Rush,RUS,34.0507,-118.0809,0.8896652417745486,Proximity Match
s307,s307,34.01913,-118.46399,Santa Monica Fire St,SMS,34.0144,-118.4562,0.8900097531738796,Proximity Match
s307,s307,34.01913,-118.46399,Santa Monica Fire St,SMS,34.01438,-118.4562,0.8913258414782501,Proximity Match
s435,s435,34.04458,-118.07468,Rush,RUS,34.05073,-118.0809,0.8922193841001689,Proximity Match
s688,s688,34.09181,-117.2953,San Bernardino - Mtn Vw & Clstr,23780,34.096,-117.287,0.8950996070326033,Proximity Match
s347,s347,34.05399,-118.31666,Los Angeles - Wilshire & Western LADOT,24833,34.062,-118.315,0.9037038588712645,Proximity Match
s451,s451,33.8259,-118.15981,Lakewood - Carson & Paramount,14936,33.834,-118.161,0.9073613825620054,Proximity Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,Colton Interchange - Vault,754,34.06,-117.3,0.9214639642135873,Proximity Match
P16,p16,34.03183,-118.4468,LA - 1955 1/2 Purdue Ave. Bsmt,5284,34.04,-118.445,0.9234795837434729,Proximity Match
s066,s066,34.20175,-119.08568,Camarillo,25282,34.208,-119.079,0.9275514627753808,Proximity Match
P1,p1,34.3146,-118.48887,Jensen Filtration Plant Generator Building Free-Field (K2),JGBF,34.3131,-118.4992,0.9632859022257577,Proximity Match
s470,s470,33.76452,-118.1391,Long Beach - 2nd & Claremont,14005,33.759,-118.131,0.9682063979152759,Proximity Match
s690,s690,34.1701,-117.24147,San Bernardino - Del Rosa Wk Sta,5331,34.1663,-117.251,0.973282837067377,Proximity Match
s389,s389,34.01,-118.22211,LA - E Vernon Ave,90025,34.004,-118.23,0.9869388920129039,Proximity Match
s389,s389,34.01,-118.22211,Vernon - 38th & Santa Fe,24061,34.005,-118.231,0.9902557839372503,Proximity Match
P10,p10,34.056297,-118.20656,Los Angeles - 7-story Univ Hospital (FF),24605,34.062,-118.198,1.0119057947629675,Proximity Match
CCP,Century City Plaza,34.054886,-118.41302,LA - Century City CC North,24389,34.063,-118.418,1.0121714928387247,Proximity Match
DLA,Del Amo,33.84822,-118.09624,Lakewood - Del Amo & Palo Verde,14830,33.846,-118.107,1.0238925487323034,Name Match
P1,p1,34.3146,-118.48887,Los Angeles Filtration Plant,LFP,34.3053,-118.4881,1.036528318073955,Proximity Match
P1,p1,34.3146,-118.48887,Los Angeles Filtration Plant,LFP,34.30529,-118.4881,1.0376376791417596,Proximity Match
s640,s640,33.90137,-117.55019,Norco - 1st & Hamner,13918,33.904,-117.561,1.0396361724242154,Proximity Match
P11,p11,34.033783,-118.197174,Los Angeles - Whittier & Euclid,24040,34.031,-118.208,1.044505454050613,Proximity Match
s624,s624,34.11966,-117.46342,Fontana - Citrus & Baseline,23138,34.125,-117.454,1.0509456418809688,Proximity Match
s275,s275,34.22055,-118.45331,Panorama City - Roscoe,90007,34.222,-118.442,1.0523112683028049,Proximity Match
s597,s597,33.86742,-117.6976,Featherly Park - Maint,13122,33.869,-117.709,1.067096183687825,Proximity Match
s472,s472,33.84317,-118.08625,Del Amo,DLA,33.8482,-118.0962,1.075736076979953,Proximity Match
s472,s472,33.84317,-118.08625,Del Amo,DLA,33.84822,-118.0962,1.0768939385529492,Proximity Match
s648,s648,34.21485,-117.3357,San Bernardino - Devil Canyon Penstock,23732,34.224,-117.331,1.1054054902422883,Proximity Match
s550,s550,33.67617,-117.95093,Huntington Beach - Adams & Bushard,13887,33.676,-117.963,1.1170552438061052,Proximity Match
s642,s642,33.97978,-117.49671,Riverside - Limonite & Downey,13921,33.975,-117.486,1.121509117583658,Proximity Match
P8,p8,34.1073,-118.251945,LA - Fletcher Dr,90034,34.115,-118.244,1.126097964060914,Proximity Match
s550,s550,33.67617,-117.95093,"Fountain Valley, I-5",lls,33.684,-117.943,1.1386203717699657,Proximity Match
s772,s772,33.92394,-117.1611,Moreno Valley - Alessandro&More,13927,33.921,-117.173,1.1456325894650536,Proximity Match
s726,s726,33.89045,-117.30871,Riverside - Van Buren&Trautwein,13916,33.895,-117.32,1.1584040776035487,Proximity Match
s365,s365,33.95328,-118.32216,Inglewood - Hollywood Park,14537,33.952,-118.335,1.1928338556791582,Proximity Match
P16,p16,34.03183,-118.4468,Los Angeles - I10/405 Interchange Grnds,24909,34.03,-118.434,1.196958966031107,Proximity Match
s478,s478,34.07899,-117.92713,West Covina - I10 & Pacific Ave,23774,34.073,-117.938,1.2024709116858343,Proximity Match
s472,s472,33.84317,-118.08625,Lakewood - Del Amo Blvd,90084,33.846,-118.099,1.2188254142444637,Proximity Match
P5,p5,34.191063,-118.33417,Burbank - Burbank Blvd & Buena Vista,24947,34.18,-118.336,1.2416127848155187,Proximity Match
s349,s349,34.13272,-118.2638,Glendale - Colorado & Columbus,24016,34.144,-118.262,1.2651715619327042,Proximity Match
PERR2,Perris,33.78807,-117.24363,Perris - San Jacinto & C Street,13928,33.787,-117.23,1.2652191984011751,Name Match
P18,p18,34.051228,-118.35438,Los Angeles - Washington & La Brea,24818,34.041,-118.348,1.2802291942019102,Proximity Match
P1,p1,34.3146,-118.48887,Granada Hills; Jensen Filter Plant; Reservoir Structure; Balboa Blvd; roof level,1939,34.3082,-118.5005,1.2835162649979643,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,LA - Temple & Hope,24611,34.059,-118.246,1.2846323505008124,Proximity Match
s674,s674,33.5431,-117.66938,Saddleback,sdd,33.553,-117.662,1.2959844238309048,Proximity Match
P7,p7,34.13857,-118.27466,Glendale - Colorado & Columbus,24016,34.144,-118.262,1.3122699364780206,Proximity Match
s520,s520,34.11322,-117.77945,La Verne - Wheeler & Ruggles,23049,34.125,-117.777,1.3291508641023075,Proximity Match
STNI,Seven Ten-Ninety Interchange ,33.93088,-118.17881,Downey - Co Maint Bldg,14368,33.924,-118.167,1.3313728078445073,Proximity Match
P6,p6,34.16921,-118.30314,Glendale - Glenoaks & Western,24943,34.172,-118.289,1.337349994119461,Proximity Match
s197,s197,34.2292,-118.6958,Santa Susana Ground,5108,34.232,-118.71,1.3420733307975374,Proximity Match
s328,s328,34.07596,-118.36397,Hollywood - Willoughby Ave,90018,34.088,-118.365,1.3421432706639655,Proximity Match
s692,s692,34.24837,-117.18754,Lake Arrowhead - Hwy 173 & Oak,23072,34.253,-117.174,1.3467734173602057,Proximity Match
UCR,UCR,33.96425,-117.31636,"Riverside, UCR campus",rsb,33.973,-117.327,1.3818147375549725,Name Match
UCR,UCR,33.96425,-117.31636,Riverside Surface,RSS,33.9733,-117.3267,1.3863289900586064,Proximity Match
s080,s080,34.75456,-118.71819,Sandberg - Bald Mtn,24644,34.743,-118.724,1.3907064647222656,Proximity Match
P2,p2,34.285625,-118.46393,Rinaldi Receiving Sta,77,34.281,-118.478,1.391239839410226,Proximity Match
P16,p16,34.03183,-118.4468,Los Angeles - I405 & Missouri,24978,34.044,-118.443,1.3978077896298335,Proximity Match
s710,s710,34.10857,-117.22133,"Highland, Baseline",hln,34.121,-117.219,1.3986982972436868,Proximity Match
s512,s512,33.79899,-117.99206,Barre Substation,BRE,33.80776,-117.9812,1.399236593606023,Proximity Match
s387,s387,33.9313,-118.27493,LA - 116th St School,14403,33.929,-118.26,1.4009903570505866,Proximity Match
s512,s512,33.79899,-117.99206,Barre Substation,BRE,33.8078,-117.9812,1.4023398868326244,Proximity Match
P2,p2,34.285625,-118.46393,Mission Hills - Sepulveda & San Fernando,24800,34.273,-118.464,1.403850682006037,Proximity Match
LGB,Laguna Bell,33.9753,-118.14918,Bell Gardens - Jaboneria,90094,33.965,-118.158,1.4047336629085152,Proximity Match
P13,p13,33.99317,-118.164375,Vernon - I710 & Bandini,14060,33.999,-118.178,1.4134973546981264,Proximity Match
s688,s688,34.09181,-117.2953,San Bernardino - 2nd & Arrowhead,23522,34.103,-117.288,1.4142247813791526,Proximity Match
s345,s345,33.97525,-118.36942,Inglewood - Centinela & La Brea,14044,33.976,-118.354,1.4243405052025766,Proximity Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,Colton - Kaiser Medical Clinic,5341,34.058,-117.305,1.4266436304324281,Proximity Match
s478,s478,34.07899,-117.92713,Covina - W Badillo,90070,34.087,-117.915,1.428714387618212,Proximity Match
s689,s689,34.13096,-117.2684,San Bernardino - Highland & Rosa,23897,34.133,-117.253,1.4354720858983212,Proximity Match
P12,p12,34.01185,-118.17989,Vernon - I710 & Bandini,14060,33.999,-118.178,1.4394366966247063,Proximity Match
s236,s236,34.18551,-118.60087,Canoga Park - De Soto & Van Owen,24013,34.194,-118.589,1.4433331764978505,Proximity Match
s348,s348,34.09336,-118.29024,LA - N Westmoreland,90021,34.082,-118.298,1.4513040713248762,Proximity Match
s552,s552,33.75474,-117.89795,Santa Ana - 1st & Franklin,13890,33.742,-117.894,1.462941025597604,Proximity Match
PTWN,Pioneer Town,34.1428,-116.49771,Pioneertown - Bronco,22078,34.155,-116.504,1.4749037933161813,Proximity Match
s472,s472,33.84317,-118.08625,Hawaiian Gardens - 212th & Norwalk Blvd,14400,33.837,-118.072,1.4841891155032465,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,Los Angeles - 7th & San Julian,24977,34.041,-118.248,1.4881450114285304,Proximity Match
s250,s250,34.73694,-118.23019,Lancaster - Fox Airfield Grnd,24475,34.739,-118.214,1.4970103698709802,Proximity Match
s366,s366,33.99265,-118.29578,Los Angeles - Vernon & Hoover,24039,34.004,-118.287,1.499308867678105,Proximity Match
P20,p20,34.23448,-118.60878,Chatsworth; Fire Station 96 Marilla St; 1-story; ground level,5428,34.2473,-118.6035,1.5058784425816687,Proximity Match
s366,s366,33.99265,-118.29578,Los Angeles - Slauson & Western,14017,33.99,-118.312,1.524145232989496,Proximity Match
s437,s437,34.12321,-118.02161,Arcadia - Campus Dr,90093,34.13,-118.036,1.5246313255825765,Proximity Match
s560,s560,34.06881,-117.68511,Ontario - 4th & Mountain,23895,34.076,-117.671,1.5258414153922846,Proximity Match
s313,s313,34.25541,-118.30562,Sunland - Mt Gleason Ave,90058,34.269,-118.303,1.5302007517629372,Proximity Match
P23,p23,34.15379,-118.54903,Tarzana - Cedar Hill B,24764,34.16,-118.534,1.5457788724947403,Proximity Match
P23,p23,34.15379,-118.54903,Tarzana - Cedar Hill A,24436,34.16,-118.534,1.5457788724947403,Proximity Match
P23,p23,34.15379,-118.54903,Tarzana - Cedar Hill,24436,34.16,-118.534,1.5457788724947403,Proximity Match
s242,s242,34.42197,-118.44259,Canyon Country - W Lost Cany,90057,34.419,-118.426,1.5571570759703046,Proximity Match
s526,s526,34.34865,-117.61898,Wrightwood Post Office,5282,34.36,-117.629,1.5616887947652,Proximity Match
MBRD,Mockingbird,33.962,-117.37745,Riverside - Hwy 91 & Central,13914,33.951,-117.388,1.5629786886456996,Proximity Match
s493,s493,33.8604,-118.01267,Buena Park - La Palma,90086,33.847,-118.018,1.5691992508344963,Proximity Match
s731,s731,34.08616,-117.17429,Redlands - Orange,23169,34.074,-117.183,1.5721754646125048,Proximity Match
s688,s688,34.09181,-117.2953,"SBVC, Observatory",5438,34.0869,-117.3114,1.5799423323425885,Proximity Match
s410,s410,33.94864,-118.20131,Southgate - Atlantic & Southern,14176,33.948,-118.184,1.598273711474005,Proximity Match
s470,s470,33.76452,-118.1391,LB - Recreation Park,14241,33.778,-118.133,1.6014481064726602,Proximity Match
P9,p9,34.08211,-118.22514,Cypress Park - San Fernando & Division,24813,34.096,-118.23,1.608033461332534,Proximity Match
s344,s344,33.93587,-118.39576,Los Angeles; LAX Fire Station,5399,33.943,-118.411,1.6140350526367009,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,Los Angeles - 7th & Burlington,24980,34.056,-118.274,1.6153416205974276,Proximity Match
s526,s526,34.34865,-117.61898,Wrightwood - 6074 Park Dr,290,34.36,-117.63,1.6174594801849973,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,LA - Pico & Sentous,24612,34.043,-118.271,1.6258618277277908,Proximity Match
SBSM,San Bernardino Strong Motion,34.064986,-117.29201,San Bernardino - Fire Sta. #11,5329,34.069,-117.275,1.6291585177811776,Proximity Match
s554,s554,33.83329,-117.84489,Orange - Shaffer & Taft,13888,33.819,-117.85,1.657604240089105,Proximity Match
s391,s391,34.08869,-118.16919,Alhambra - LA Co PW HQ FF,482,34.0842,-118.152,1.659905729099234,Proximity Match
s514,s514,33.87758,-117.93905,Fullerton,FUL,33.8717,-117.9225,1.6619220798181278,Proximity Match
s431,s431,33.88727,-118.18054,Long Beach - Artesia & Orange,14872,33.873,-118.175,1.6671335603317448,Proximity Match
s345,s345,33.97525,-118.36942,Los Angeles - Manchester & Osage,14767,33.962,-118.378,1.6723534438184953,Proximity Match
USC,University of Southern California,34.0192,-118.286,Los Angeles - Vernon & Hoover,24039,34.004,-118.287,1.6926743008438727,Proximity Match
P15,p15,34.024624,-118.48174,Santa Monica City Hall,24538,34.011,-118.49,1.6954464859234066,Proximity Match
USC,University of Southern California,34.0192,-118.286,LA - S Grand Ave,90022,34.005,-118.279,1.7057035926558364,Proximity Match
P23,p23,34.15379,-118.54903,Tarzana - Club House,24103,34.16,-118.532,1.7123992106624848,Proximity Match
s427,s427,33.72987,-118.28602,Terminal Island - S Seaside,90082,33.736,-118.269,1.7151605500568294,Proximity Match
s043,s043,34.18388,-119.15931,Oxnard - Saviers & Hill,25135,34.186,-119.178,1.7352598934110506,Proximity Match
WNGC,Whittier Narrows Golf Course,34.041824,-118.0653,Rush,RUS,34.0507,-118.0809,1.7435394957691233,Proximity Match
WNGC,Whittier Narrows Golf Course,34.041824,-118.0653,Rush,RUS,34.05073,-118.0809,1.7454297774770011,Proximity Match
P21,p21,34.209946,-118.58717,Canoga Park - Topanga Can,90053,34.212,-118.606,1.7465144079268946,Proximity Match
P19,p19,34.04732,-118.321785,Los Angeles - Wilshire & Western LADOT,24833,34.062,-118.315,1.7479280566825022,Proximity Match
s688,s688,34.09181,-117.2953,San Bernardino - Co Service Bldg - Freefield,5245,34.106,-117.287,1.7531955909803754,Proximity Match
LADT,Los Angeles Downtown,34.05204,-118.25713,Los Angeles - Olive & Pico,24838,34.037,-118.263,1.757650677414163,Proximity Match
s397,s397,34.32461,-118.00986,Chilao Flat Rngr Sta,CHF,34.3334,-118.0259,1.7676903785846538,Proximity Match
s397,s397,34.32461,-118.00986,Chilao Flat Rngr Sta,CHF,34.33341,-118.0259,1.7683053747530217,Proximity Match
s346,s346,34.01462,-118.34305,LA - Baldwin Hills,24157,34.009,-118.361,1.7685714992770365,Proximity Match
s560,s560,34.06881,-117.68511,Montclair - Mission & Monte Vista,23077,34.057,-117.698,1.7704235910230561,Proximity Match
s195,s195,34.1503,-118.7483,Agoura,AGO,34.1465,-118.767,1.771954721135878,Proximity Match
s195,s195,34.1503,-118.7483,Agoura,AGO,34.14647,-118.767,1.7727534448875948,Proximity Match
s344,s344,33.93587,-118.39576,Los Angeles - Century & Aviation,14822,33.945,-118.38,1.7732260002920701,Proximity Match
s514,s514,33.87758,-117.93905,Brea Dam (Downstream),951,33.89,-117.927,1.773297257990954,Proximity Match
s666,s666,34.07501,-117.36923,Colton - Hospital Complex FF,23788,34.074,-117.35,1.774713863741867,Proximity Match
s273,s273,34.14175,-118.50604,Los Angeles; Mullholland Fire Station 109 Mullholland Dr (at Fwy 405); 1-story; ground level,5421,34.1307,-118.4921,1.7764514961823068,Proximity Match
s510,s510,33.72038,-118.04497,Huntington Beach - Springdale & Heil,14007,33.723,-118.026,1.7784775717233838,Proximity Match
